0001	无装备
0002	绿色束裤
0003	蓝色束裤
0004	猎人胫甲
0005	猎人护胫
0006	骸骨胫甲
0007	骸骨护胫
0008	蓝速龙胫甲
0009	蓝速龙护胫
000a	战斗胫甲
000b	战斗护胫
000c	合金靴・曜
000d	巨蜂胫甲
000e	巨蜂护胫
000f	爬虫胫甲
0010	爬虫护胫
0011	精炼矿石胫甲
0012	精炼矿石护胫
0013	合金靴・闇
0014	黄速龙胫甲
0015	黄速龙护胫
0016	合金靴・艳
0017	合金靴・阳
0018	红速龙胫甲
0019	红速龙护胫
001a	毒怪鸟胫甲
001b	毒怪鸟护胫
001c	砂龙胫甲
001d	砂龙护胫
001e	雌火龙胫甲
001f	雌火龙护胫
0020	电龙胫甲
0021	电龙护胫
0022	雄火龙胫甲
0023	雄火龙护胫
0024	水龙胫甲
0025	水龙护胫
0026	岩龙胫甲
0027	岩龙护胫
0028	角龙胫甲
0029	角龙护胫
002a	一角龙胫甲
002b	一角龙护胫
002c	铠龙胫甲
002d	铠龙护胫
002e	黑带胫甲
002f	苔猪足
0030	蓝速龙之足
0031	黄速龙之足
0032	红速龙之足
0033	忍之足袋・阳
0034	忍之足袋・阴
0035	守卫者长靴
0036	守卫者轻鞋
0037	助理长袜
0038	医师长袜
0039	黑狼鸟胫甲
003a	黑狼鸟护胫
003b	晓丸【具足】
003c	曙丸【具足】
003d	凛【裤】
003e	艳【裤】
003f	红凛【裤】
0040	红艳【裤】
0041	邪龍之足
0042	邪龍之胫
0043	米色束裤
0044	茶色束裤
0045	猎人Ｕ胫甲
0046	猎人Ｕ护胫
0047	骸骨Ｕ胫甲
0048	骸骨Ｕ护胫
0049	蓝速龙Ｕ胫甲
004a	蓝速龙Ｕ护胫
004b	战斗Ｕ胫甲
004c	战斗Ｕ护胫
004d	巨蜂Ｕ胫甲
004e	巨蜂Ｕ护胫
004f	爬虫Ｕ胫甲
0050	爬虫Ｕ护胫
0051	精炼矿石Ｕ胫甲
0052	精炼矿石Ｕ护胫
0053	黄速龙Ｕ胫甲
0054	黄速龙Ｕ护胫
0055	红速龙Ｕ胫甲
0056	红速龙Ｕ护胫
0057	毒怪鸟Ｕ胫甲
0058	毒怪鸟Ｕ护胫
0059	砂龙Ｕ胫甲
005a	砂龙Ｕ护胫
005b	雌龙心胫甲
005c	雌龙心护胫
005d	电龙Ｕ胫甲
005e	电龙Ｕ护胫
005f	雄龙魂胫甲
0060	雄龙魂护胫
0061	水龙Ｕ胫甲
0062	水龙Ｕ护胫
0063	岩龙Ｕ胫甲
0064	岩龙Ｕ护胫
0065	角龙Ｕ胫甲
0066	角龙Ｕ护胫
0067	一角魔胫甲
0068	一角魔护胫
0069	铠龙Ｕ胫甲
006a	铠龙Ｕ护胫
006b	忍之足袋・空
006c	忍之足袋・海
006d	守卫者Ｕ长靴
006e	守卫者Ｕ轻鞋
006f	助理Ｕ长袜
0070	医师Ｕ长袜
0071	晓丸・皇【具足】
0072	曙丸・皇【具足】
0073	凛・皇【裤】
0074	艳・皇【裤】
0075	魔龍之足
0076	魔龍之胫
0077	金月胫甲
0078	金月护胫
0079	银日胫甲
007a	银日护胫
007b	绿色Ｓ束裤
007c	蓝色Ｓ束裤
007d	猎人Ｓ胫甲
007e	猎人Ｓ护胫
007f	骸骨Ｓ胫甲
0080	骸骨Ｓ护胫
0081	蓝速龙Ｓ胫甲
0082	蓝速龙Ｓ护胫
0083	战斗Ｓ胫甲
0084	战斗Ｓ护胫
0085	巨蜂Ｓ胫甲
0086	巨蜂Ｓ护胫
0087	爬虫Ｓ胫甲
0088	爬虫Ｓ护胫
