0000	无
0001	受身
0002	运气
0003	搬运
0004	自动防御
0005	防御性能
0006	回复
0007	回复速度
0008	扩散弹追加
0009	加护
000a	雷耐性
000b	贯通弹强化
000c	贯通弹追加
000d	气绝
000e	反覆无常
000f	锐利
0010	贪吃鬼
0011	气息
0012	达人
0013	广域回复
0014	广域解毒
0015	攻击
0016	采取
0017	散弹强化
0018	散弹追加
0019	睡眠
001a	全耐性ＵＰ
001b	千里眼
001c	装填
001d	耐寒
001e	耐暑
001f	体力
0020	匠
0021	种广域化
0022	弹调合
0023	地图
0024	听觉保护
0025	调合成功率
0026	通常弹强化
0027	通常弹追加
0028	垂钓
0029	胴系统＋１
002a	胴系统＋２
002b	胴系统倍加
002c	投掷
002d	研磨师
002e	毒
002f	特殊攻击
0030	肉
0031	偷盗无效
0032	爆弹强化
0033	饥饿
0034	反动
0035	火耐性
0036	风压
0037	笛
0038	防御
0039	麻痹
003a	水耐性
003b	龍耐性
003c	榴弹追加
003d	炼金术
003e	连射
003f	高速收集
0040	回避性能
0041	底力
0042	效果持续
0043	耐力
0044	装填数
0045	精密射击
0046	怪物
0047	食事
0048	剥取
0049	地形
004a	抗菌・抗毒
004b	耐雪
004c	冰耐性
004d	耐震
004e	广域
004f	声带
0050	烤肉
0051	炮术师
