
街门的可疑地点

4个地点的每一个在每个季节都有2种模式，
导致模式变化的条件不明（详见下方）
艾尔坚果、琥珀矿石、大槿花只出现在模式2中

有人说给小猪王的食物会产生影响，
进行了调查后发现似乎确实如此。
在抚摸小猪王使其开心之前，给予以下食物的话，就会使模式2出现

　温暖期：鬼松茸、蛇形鲑鱼、旗鱼、米虫、蜜蜻蜓、霍皮酒
　寒冷期：薄片仙人掌、雪花番茄、银舍利草、古代豆、波波舌、蛇龙肉眼、龙尾肉、古代鱼、不死虫、蜜蜻蜓、红油、皇家乳酪、怪物卵
　繁殖期：稀有洋葱、混杂豆、顽固面包、电龙渍菜、龙尾肉、刺身鱼、旗鱼、蜜蜻蜓、大力神王虫、强力猪油、长寿果酱、猛牛黄油、皇家乳酪、祝福葡萄酒、黄金芋酒、怪物卵



位置1：通往街的桥入口右侧的草丛（最大采集次数：3）
位置2：屏幕画面右侧的草丛（最大采集次数：4）
位置3：暮色中的流浪人身边的草丛（最大采集次数：4）
位置4：随便的杂货商附近（最大采集次数：3）　　　　　　　　（04/21 原记录的场所2与3被颠倒了，现已进行修正）

* 如果小猪王没有前往想要的位置，在进行采集之前，可以尝试换个地方重新抚摸小猪王，可能会找到一个新的位置

每个位置都配置了6种物品（0%表示无法获取）

******************************
温暖期 模式1 模式2 物品
******************************
1-1    30%   30%   00FF:虫之死骸
1-2    30%   30%   00C4:蓝蘑菇
1-3    25%   25%   0138:龙骨【小】
1-4    15%   15%   016B:怪鸟的鳞
1-5     0%    0%   00E7:艾尔坚果
1-6     0%    0%   00E8:琥珀矿石

2-1    35%   30%   00B7:药草
2-2    25%   20%   0138:龙骨【小】
2-3    20%   15%   016B:怪鸟的鳞
2-4    20%   15%   00D9:大地的结晶
2-5     0%    0%   00E7:艾尔坚果
2-6     0%   20%   00E6:大槿花

3-1    30%   30%   00B7:药草
3-2    30%   30%   00C4:蓝蘑菇
3-3    20%   20%   0108:黏着蝗虫
3-4    20%   20%   0104:苦虫
3-5     0%    0%   00E7:艾尔坚果
3-6     0%    0%   00E8:琥珀矿石

4-1    25%   20%   00FF:虫之死骸
4-2    25%   20%   0138:龙骨【小】
4-3    25%   15%   00C4:蓝蘑菇
4-4    15%   10%   0106:雷光虫
4-5    10%    5%   00CE:怪力之种
4-6     0%   30%   00E6:大槿花

******************************
寒冷期 模式1 模式2 物品
******************************
1-1    25%   20%   00FF:虫之死骸
1-2    35%   30%   00C4:蓝蘑菇
1-3    25%   20%   0138:龙骨【小】
1-4    15%   10%   016B:怪鸟的鳞
1-5     0%    0%   00E7:艾尔坚果
1-6     0%   20%   00E8:琥珀矿石

2-1    30%   30%   00B7:药草
2-2    30%   30%   0138:龙骨【小】
2-3    25%   25%   016B:怪鸟的鳞
2-4    15%   15%   00D9:大地的结晶
2-5     0%    0%   00E7:艾尔坚果
2-6     0%    0%   00E6:大槿花

3-1    35%   30%   00B7:药草
3-2    25%   20%   00C4:蓝蘑菇
3-3    20%   15%   0108:黏着蝗虫
3-4    20%   15%   0104:苦虫
3-5     0%    0%   00E7:艾尔坚果
3-6     0%   20%   00E8:琥珀矿石

4-1    25%   25%   00FF:虫之死骸
4-2    25%   25%   0138:龙骨【小】
4-3    25%   25%   00C4:蓝蘑菇
4-4    15%   15%   0106:雷光虫
4-5    10%   10%   00CE:怪力之种
4-6     0%    0%   00E6:大槿花

******************************
繁殖期 模式1 模式2 物品
******************************
1-1    25%   20%   00FF:虫之死骸
1-2    35%   30%   00C4:蓝蘑菇
1-3    25%   20%   0138:龙骨【小】
1-4    15%   10%   016B:怪鸟的鳞
1-5     0%   20%   00E7:艾尔坚果
1-6     0%    0%   00E8:琥珀矿石

2-1    35%   30%   00B7:药草
2-2    25%   20%   0138:龙骨【小】
2-3    20%   15%   016B:怪鸟的鳞
2-4    20%   15%   00D9:大地的结晶
2-5     0%   20%   00E7:艾尔坚果
2-6     0%    0%   00E6:大槿花

3-1    35%   30%   00B7:药草
3-2    25%   20%   00C4:蓝蘑菇
3-3    20%   15%   0108:黏着蝗虫
3-4    20%   15%   0104:苦虫
3-5     0%   20%   00E7:艾尔坚果
3-6     0%    0%   00E8:琥珀矿石

4-1    25%   25%   00FF:虫之死骸
4-2    25%   25%   0138:龙骨【小】
4-3    25%   25%   00C4:蓝蘑菇
4-4    15%   15%   0106:雷光虫
4-5    10%   10%   00CE:怪力之种
4-6     0%    0%   00E6:大槿花
